"","Ministerie","Jaar","soort","waarde"
"135","BZK",2017,"Gesloten","31"
"136","DEF",2017,"Gesloten","-"
"137","EZ",2017,"Gesloten","-"
"138","FIN",2017,"Gesloten","6"
"139","IenM",2017,"Gesloten","-"
"140","OCW",2017,"Gesloten","17"
"141","SZW",2017,"Gesloten","26"
"142","VenJ",2017,"Gesloten","-"
"143","VWS",2017,"Gesloten","-"
"144","AZ",2016,"Gesloten","-"
"145","BZ",2016,"Gesloten","-"
"146","BZK",2016,"Gesloten","23"
"147","DEF",2016,"Gesloten","-"
"148","EZ",2016,"Gesloten","3"
"149","FIN",2016,"Gesloten","-"
"150","IenM",2016,"Gesloten","19"
"151","OCW",2016,"Gesloten","26"
"152","SZW",2016,"Gesloten","-"
"153","VenJ",2016,"Gesloten","-"
"154","VWS",2016,"Gesloten","5"
"155","AZ",2015,"Gesloten","-"
"156","BZ",2015,"Gesloten","47"
"157","BZK",2015,"Gesloten","21"
"158","DEF",2015,"Gesloten","-"
"159","EZ",2015,"Gesloten","2"
"160","FIN",2015,"Gesloten","1"
"161","IenM",2015,"Gesloten","16"
"162","OCW",2015,"Gesloten","12"
"163","SZW",2015,"Gesloten","13"
"164","VenJ",2015,"Gesloten","-"
"165","VWS",2015,"Gesloten","-"
