;U I T G A V E N;;;;
Datum Boeking;Soort uitgaven ;Categorie ;Hoofdrubriek ;Omschrijving factuur ;Realisatie boeking 
1-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Collegegeld 2016 tbv medewerker;1.951,00
1-3-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Creditnota cursus;-595,00
1-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;199,00
1-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;395,00
1-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;2.353,82
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Collegegeld 2016 tbv medewerker;174,99
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Coaching;2.758,80
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;250,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;250,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;385,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Trainingvaardigheden;1.062,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;1.800,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;1.800,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;1.950,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;2.541,00
9-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Begeleiding van Programmatisch Werken;10.965,63
10-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Congres;225,00
10-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;138,00
15-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Persoonlijke ontwikkeling;4.995,00
17-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;100,00
21-3-16;Personele uitgaven;Eigen personeel;Studie en opleiding;Inhoudelijke cursus of opleiding;100,00
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Reiskosten binnenland;3.920,64
1-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;217,54
1-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;647,40
1-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;517,50
9-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;346,50
10-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;259,65
15-3-16;Materiële uitgaven;Vervoer- en verblijfkosten;Verblijf extern;Externe accommodatie;1.516,32
1-3-16;Personele uitgaven;Eigen personeel;Arbeidsomstandigheden en personele zorg;Vaccinatie;80,95
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis België;189,00
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Luxemburg;267,40
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Peru;1.727,55
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;481,57
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;481,57
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;209,00
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;209,00
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Engeland;727,00
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;323,62
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;11,00
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tanzania;848,61
1-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;393,62
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis België;291,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;310,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;313,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;198,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Vietnam;232,77
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;256,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;256,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;297,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis België;1.083,00
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Hongarije;309,42
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;443,93
9-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Tunesië;443,93
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Letland;446,40
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Peru;180,00
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oostenrijk;141,76
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;237,80
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Kroatië;466,21
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oostenrijk;239,79
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Oostenrijk;239,79
14-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;231,00
23-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis ;124,86
23-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Noorwegen;196,28
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Sint Maarten;6.866,44
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;390,19
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Spanje;213,09
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Spanje;70,18
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;188,94
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;134,57
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;Buitenlandse dienstreis Duitsland;112,52
29-3-16;Personele uitgaven;Eigen personeel;Reis- en verblijfkosten;foutieve declaratie tanzania maart'16 door P-direkt uitbetaald/Freriks;1.813,06
1-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;215,99
1-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;55,40
1-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;29.614,83
1-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;226,72
9-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding woon-werkverkeer;26.393,84
10-3-16;Personele uitgaven;Eigen personeel;Onkostenvergoedingen waaronder woon-werkverkeer;Onkostenvergoeding Internetabonnement;62,50
1-3-16;Personele uitgaven;Eigen personeel;Noodzakelijke contributies van personeel;Contributie;425,00
1-3-16;Personele uitgaven;Eigen personeel;Noodzakelijke contributies van personeel;Contributie;425,00
1-3-16;Personele uitgaven;Eigen personeel;Noodzakelijke contributies van personeel;Contributie;425,00
9-3-16;Personele uitgaven;Eigen personeel;Noodzakelijke contributies van personeel;Contributie;161,29
14-3-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;30,05
14-3-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;30,05
15-3-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
15-3-16;Personele uitgaven;Eigen Personeel;Instroom, doorstroom en uitstroom van personeel;VOG;41,35
9-3-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg;Diverse Arbokosten;7.939,70
14-3-16;Personele uitgaven;Eigen Personeel;Arbeidsomstandigheden en personele zorg;Diverse Arbokosten;231,84
1-3-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Warmtelevering;12.108,92
1-3-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;7.764,58
9-3-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Elektriciteit;1.665,94
1-3-16;Materiële uitgaven;ICT;Spraak en Data Verbindingen;datacomdienst;633,28
1-3-16;Materiële uitgaven;ICT;Spraak en Data Verbindingen;datacomdienst;1.477,64
1-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf lader;37,90
1-3-16;Personele uitgaven;Eigen personeel;Arbeidsomstandigheden en personele zorg;EHBO attributen;44,34
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;95,44
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;monteur;149,86
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;255,30
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;371,58
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;564,24
1-3-16;Materiële uitgaven;Diensten en middelen;"Documentmanagement
Documentontwikkeling en -verwerking";rapport advies;860,31
1-3-16;Materiële uitgaven;Diensten en middelen;Inrichting van gebouwen;onderhoud;1.064,80
1-3-16;Materiële uitgaven;Diensten en middelen;Inrichting van gebouwen;onderhoud;1.877,00
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;1.985,55
1-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;3.335,29
9-3-16;Materiële uitgaven;uitbesteding;Inrichting van gebouwen;onderhoud;231,17
9-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;284,86
9-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;1.436,27
9-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;3.018,72
9-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;113,98
9-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;onderhoud;114,04
14-3-16;Materiële uitgaven;uitbesteding;Benodigdheden en hulpmiddelen;aanschaf batterijen;86,73
14-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;Bateriologisch onderz.div.ruimten ;5.099,92
14-3-16;Materiële uitgaven;Huisvesting;gebruik en onderhoud gebouw en terreinen;Creditnota Bateriologisch onderz.div.ruimten ;-2.527,46
21-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf accu;118,89
21-3-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;schoonmaak;240,78
31-3-16;Materiële uitgaven;uitbesteding;Inrichting van gebouwen;Fietsonderdelen;3,90
1-3-16;Materiële uitgaven;uitbesteding;Schoonmaken;onderhoud;7.964,81
9-3-16;Materiële uitgaven;uitbesteding;Schoonmaken;schoonmaak;113,89
9-3-16;Materiële uitgaven;uitbesteding;Schoonmaken;schoonmaak;884,27
9-3-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;954,93
14-3-16;Materiële uitgaven;uitbesteding;Afvalzorgmanagement;Afvalverwerking;178,34
14-3-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;schoonmaak;517,77
14-3-16;Materiële uitgaven;Diensten en middelen;Schoonmaken;schoonmaak;1.296,47
14-3-16;Materiële uitgaven;uitbesteding;Afvalzorgmanagement;creditnota Afvalverwerking;-114,04
17-3-16;Materiële uitgaven;Diensten en middelen;Afvalzorgmanagement;Afvalverwerking;918,70
9-3-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Brandmeldinstallatie;1.480,53
17-3-16;Materiële uitgaven;Diensten en middelen;Risicobeheersen;Beveiliging;1.610,17
1-3-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;koerierkosten;74,39
9-3-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;koerierkosten;73,25
9-3-16;Materiële uitgaven;Inbesteding opdrachten;Post-, Koeriers- en transportdiensten;koerierkosten;925,66
14-3-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;koerierkosten;152,50
17-3-16;Materiële uitgaven;Diensten en middelen;Post-, Koeriers- en transportdiensten;koerierkosten;24,44
1-3-16;Materiële uitgaven;Diensten en middelen;"Documentmanagement
Documentontwikkeling en -verwerking";diverse onderzoeksrapporten;338,50
9-3-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Inhuur ICT advies;5.687,00
9-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorartikelen;90,31
14-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorartikelen;11,91
14-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorartikelen;853,17
1-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;papier;452,43
1-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;papier;67,86
15-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;papier;100,81
21-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;papier;542,91
9-3-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;1.608,21
14-3-16;Materiële uitgaven;Diensten en middelen;Beheer en onderhoud hardware;onderhoud kopieerapparaat;380,33
1-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;abonnement;769,08
1-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;abonnement;1.310,94
1-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;abonnement;273,42
1-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;28,40
1-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;abonnement ;421,00
9-3-16;Materiële uitgaven;Diensten en middelen;Benodigdheden en hulpmiddelen;aanschaf kantoorartikelen;19,30
9-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;30,50
14-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;30,50
17-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;28,84
17-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;39,95
21-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;Aankoop boek;153,00
21-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;abonnement;348,45
9-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;news portal;1.535,68
9-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;news portal;183,32
17-3-16;Materiële uitgaven;Communicatie;Vakliteratuur, abonnementen en overige informatie;news portal;1.520,47
1-3-16;Materiële uitgaven;uitbesteding;Spraak en Data verbindingen;Telefoonkosten;752,56
1-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;Internetkosten;30,25
1-3-16;Materiële uitgaven;uitbesteding;Spraak en Data verbindingen;Internetkosten;79,90
9-3-16;Materiële uitgaven;uitbesteding;Spraak en Data verbindingen;Internetkosten;1.047,66
9-3-16;Materiële uitgaven;uitbesteding;Spraak en Data verbindingen;Internetkosten;1.755,71
14-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;Creditnota Internetkosten;-80,32
17-3-16;Materiële uitgaven;uitbesteding;Spraak en Data verbindingen;Telefoonkosten;3.396,39
1-3-16;Materiële uitgaven;uitbesteding;Beheer en onderhoud hardware;Registratie II N en RID nummers Toekenning en registratie II N Internationaal K. Knoop;726,00
1-3-16;Materiële uitgaven;uitbesteding;Aanschaf programmatuur & software;Aanschaf licencies;2.338,33
1-3-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Beheervoorziening RIN 2016 Sport;1.969,00
9-3-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Hosting ;90,60
9-3-16;Materiële uitgaven;Communicatie;Diversen communicatie;Onderhoud interne webapplicatie;848,51
9-3-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;Hosting ;1.306,44
9-3-16;Materiële uitgaven;ICT;Beheer en onderhoud hardware;Cloudserver;1.678,68
1-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Diner  ;167,05
9-3-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;cadeau eigen personeel;30,00
14-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Diner met Audit Commitee;364,00
15-3-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Diner ;274,10
1-3-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Diner  ;157,95
1-3-16;Materiële uitgaven;Huisvesting;Verbruik van energie en water;Waterschapsbelasting;1.604,46
9-3-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Coaching;26,20
14-3-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Consumpties personeelsbijeenkomst;21,25
15-3-16;Personele uitgaven;Eigen personeel;Representatie Eigen Personeel;Consumpties personeelsbijeenkomst;12,50
1-3-16;Materiële uitgaven;Diensten en middelen;Inrichting van gebouwen;onderhoud;1.508,77
9-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;2.285,68
9-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;6.173,13
9-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten;Creditnota catering;-94,18
14-3-16;Materiële uitgaven;Diensten en middelen;Consumptieve diensten ;Catering;1.704,17
15-3-16;Materiële uitgaven;Communicatie;Vertaaldiensten;Vertaling rapport;968,00
17-3-16;Materiële uitgaven;Communicatie;Vertaaldiensten;vertaling Stragegie;1.938,42
15-3-16;Materiële uitgaven;Diensten en middelen;Inrichting van gebouwen;Kantoorartikelen;1.266,08
10-3-16;Materiële uitgaven;Diensten en middelen;Inrichting van gebouwen;Bloemen tbv gebouw;375,00
1-3-16;Materiële uitgaven;uitbesteding;Spraak en Data Verbindingen;Reparatie telefoontoestel;391,05
14-3-16;Materiële uitgaven;uitbesteding;Aanschaf Hardware;2xmobiele hardware BTC;1.007,30
1-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf hardware;2.679,67
1-3-16;Materiële uitgaven;ICT;Aanschaf hardware;aanschaf hardware;979,37
9-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf hardware;631,62
9-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf hardware;1.123,49
15-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;Diverse IV middelen Protinus;512,11
17-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf hardware;204,49
17-3-16;Materiële uitgaven;ICT;Aanschaf hardware;aanschaf hardware;3.569,50
21-3-16;Materiële uitgaven;uitbesteding;Aanschaf hardware;aanschaf hardware;4.143,14
1-3-16;Materiële uitgaven;ICT;Aanschaf hardware;Creditnota aanschaf hardware;-1.754,50
1-4-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Salaris tijdelijk medewerker;-1.854,42
29-4-16;Personele uitgaven;Eigen Personeel;Salaris, vakantie- en eindejaarsuitkering;Bruto salaris april 2016 ;1.628.304,02
1-4-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;128,09
1-4-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;256,18
1-4-16;Personele uitgaven;Postactieven;Bovenwettelijke uitkering, wachtgelden;Wachtgelden;5.326,91
20-4-16;Personele uitgaven;Eigen Personeel;Bovenwettelijke uitkering, wachtgelden;Uitkeringen;-10.252,54
13-4-16;Personele uitgaven;Eigen Personeel;Vergoedingen voor inbesteding personeel;Indetachering;22.052,25
1-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;698,78
13-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;698,78
6-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;765,57
13-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;873,47
1-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;921,11
20-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.048,16
13-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.255,19
18-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.378,26
1-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.388,60
1-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;1.686,68
1-4-16;Personele uitgaven;Externe Inhuur;Uitzendkrachten;inhuur uitzendkracht;3.888,08
18-4-16;Personele uitgaven;Externe Inhuur;Juridisch advies;Inhuur juridisch advies;213,24
1-4-16;Personele uitgaven;Externe Inhuur;Advisering opdrachtgevers over automatiseringsvraagstukken;Projectvoorbereiding vervanging Intranet;363,00
18-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;726,00
18-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;726,00
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;822,80
18-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur onderzoek UWV;1.195,48
20-4-16;Personele uitgaven;Eigen Personeel;Studie en opleiding;Coaching MT;1.210,00
13-4-16;Materiële uitgaven;ICT;Beheer, onderhoud programmatuur en software;Beheer en onderhoud software;1.306,80
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;1.321,32
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;1.524,60
18-4-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;402,05
18-4-16;Personele uitgaven;externe inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;1.209,67
18-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur IT-expertise;1.996,50
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;2.081,20
1-4-16;Materiële uitgaven;Huisvesting;Verhuizen;werkplekken vervangen ;2.418,50
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;2.497,44
13-4-16;Personele uitgaven;Externe Inhuur;Organisatie- en formatieadvies;Inhuur Organisatie- en formatieadvies;3.633,63
1-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;3.963,96
1-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur inkoopadvies;4.368,10
1-4-16;Materiële uitgaven;Diensten en middelen;Documentmanagement, documentonwikkeling en -verwerking;Ontwikkelen Rapportsjablonen;4.598,00
1-4-16;Materiële uitgaven;Bijdrage SSO;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;4.687,50
13-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;5.203,00
1-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur inkoopadvies;5.735,40
1-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;5.793,48
13-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;Inhuur ihkv onderzoek Vastgoed;5.856,40
1-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur inkoopadvies;6.388,80
6-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;9.077,42
13-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;9.370,24
13-4-16;Materiële uitgaven;uitbesteding;Aan externe partij uitbestede ICT-dienstverlening;inhuur ICT advies;9.781,64
1-4-16;Personele uitgaven;Externe Inhuur;Organisatie- en formatieadvies;Inhuur organisatie- en formatieadvies;10.155,00
1-4-16;Personele uitgaven;Externe Inhuur;Interim-management;Inhuur Interim-management;12.207,69
13-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;13.520,54
13-4-16;Personele uitgaven;Externe Inhuur;Interim-management;Inhuur Interim-management;13.706,88
1-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;15.226,64
13-4-16;Personele uitgaven;Externe Inhuur;Accountancy, financiën en administratieve organisatie;inhuur accountancy;15.669,50
